SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
1437,2016-08-11,91Springboard,Consumer Internet,Co-Working Spaces Discovery & Booking Platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,0.0,2016,8,"Khattar Holdings, Thirtythree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal, Undisclosed Investors"
1438,2016-08-11,Genextstudents,Consumer Internet,Online Tutoring Service Provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,1.7765,2016,8,1Crowd
1439,2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,127.5,2016,8,"Norwest Venture Partners, Accel"
1440,2016-08-12,Crofarm,Technology,Agri-Tech Supply Chain Solution Provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,12.75,2016,8,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta"
1441,2016-08-12,Faircent,Consumer Internet,Peer-To-Peer Lending Platform,Gurgaon,Brand Capital,Private Equity,12.75,2016,8,Brand Capital
1442,2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,132.6,2016,8,Westbridge Capital Partners
1443,2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,4.25,2016,8,Undisclosed Investors
1444,2016-08-12,Funcastic,Consumer Internet,B2C Vernacular Podcast Aggregator Platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,0.0,2016,8,"Ht Media Ltd, North Base Media"
1445,2016-08-15,Buttercups,E Commerce,Women Intimate Wear Etailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,0.0,2016,8,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese"
1446,2016-08-16,Zappfresh,E Commerce,Raw Meat Products Etailer,Gurgaon,Ashvin Chadha,Seed Funding,0.0,2016,8,Ashvin Chadha
1447,2016-08-16,Oyo,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,527.0,2016,8,Softbank
1448,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,1487.5,2016,8,"Tencent Holdings, Foxconn Technology Group, Tiger Global, Softbank, Bharti Enterprises"
1449,2016-08-16,Joolz,E Commerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,4.25,2016,8,"Powerhouse Ventures, M, S Partners"
1450,2016-08-16,Salebhai,E Commerce,"Sweets, Dry Fruits & Handicrafts Etailer",Ahmedabad,Brand Capital,Private Equity,12.75,2016,8,Brand Capital
1451,2016-08-16,Makkajai,Technology,Online & Mobile Learning For Kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,2.125,2016,8,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd"
1452,2016-08-16,Gradopedia,Consumer Internet,Career Progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,0.0,2016,8,Undisclosed Dubai Based Hnis
1453,2016-08-17,Maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,3.1875,2016,8,"Swan Angel Network, Sachin Khandelwal, Undisclosed Investors"
1454,2016-08-17,Zipi,Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,0.0,2016,8,Swan Angel Network
1455,2016-08-17,Appknox,Technology,Mobile Security Solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,5.7375,2016,8,"Seedplus, Infocomm Investments, Accel Partners Rnt Associates"
1456,2016-08-17,Pikkol,Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,0.0,2016,8,Indian Angel Network
