SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
825,2017-05-16,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,25.5,2017,5,Innovations East
826,2017-05-16,Fynd,E Commerce,Fashion Ecommerce Portal,Mumbai,Rocketship,Private Equity,4.25,2017,5,Rocketship
827,2017-05-17,Genie,Consumer Internet,Hyperlocal Delivery And Logistics Mobile App,Chennai,undisclosed investors,Seed Funding,2.125,2017,5,Undisclosed Investors
828,2017-05-17,Paysense,Consumer Internet,Online Lending Platform,Mumbai,Jungle Ventures,Private Equity,45.05,2017,5,Jungle Ventures
829,2017-05-18,The Good Life,E Commerce,Online Luxury Tea Etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,8.5,2017,5,"Ayesha Takia Azmi, Abu Farhan Azmi"
830,2017-05-18,Pumpkart,E Commerce,Online Water Pumps Etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.0,2017,5,Dr. Ritesh Malik
831,2017-05-18,Paytm,E Commerce,Mobile Wallet & Ecommerce Platform,Bangalore,SoftBank Group,Private Equity,11900.0,2017,5,Softbank
832,2017-05-19,Ezcred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,8.5,2017,5,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg"
833,2017-05-19,Healthsutra,Food and Beverages,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0.0,2017,5,"Ankur Capital, Hyderabad Angels"
834,2017-05-20,Yepme,E Commerce,Private Fashion Brand Etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,0.0,2017,5,Gokaldas Exports Ltd
835,2017-05-22,Delhivery,Logistics,Ecommerce Logistics Provider,New Delhi,Fosun International,Private Equity,255.0,2017,5,Fosun International
836,2017-05-22,Zipgrid,Consumer Internet,"Cashless, Paperless Solutions For Housing Societies",Mumbai,"JLL, 1Crowd",Seed Funding,4.25,2017,5,"JLL, 1Crowd"
837,2017-05-23,Travelspice,E Commerce,Travel Ecommerce Portal,Hyderabad,Eagle10 Ventures,Seed Funding,0.0,2017,5,Eagle10 Ventures
838,2017-05-23,Magicpin,Consumer Internet,Hyperlocal Discovery Platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,56.1,2017,5,"Lightspeed Venture Partners, Vy Capital"
839,2017-05-23,The Print,Consumer Internet,News Portal,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.0,2017,5,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody"
840,2017-05-23,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,8.5,2017,5,Trifecta Capital
841,2017-05-24,Gennext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed Funding,4.93,2017,5,Undisclosed Investors
842,2017-05-25,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,68.0,2017,5,Blue Orchard
843,2017-05-26,Whatsloan,Consumer Internet,Online Lending Mobile App,Bangalore,Lahiri Musics family office,Seed Funding,0.0,2017,5,Lahiri Musics Family Office
844,2017-05-29,Cube Consumer Services,Consumer Internet,Finance Management Mobile App,Mumbai,Undisclosed Investors,Seed Funding,0.0,2017,5,Undisclosed Investors
845,2017-05-29,Nivesh,Consumer Internet,Online Mf Investment Platform,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.0,2017,5,"Pv Sahad, Sandeep Shroff, Rahul Gupta"
846,2017-05-29,Wowflux,Technology,Image Processing Solution,New Delhi,Undisclosed Investors,Seed Funding,0.0,2017,5,Undisclosed Investors
847,2017-05-29,Collateral Medical,E Commerce,Online Medical Equipment Supplier,Mumbai,Carpediem Capital,Private Equity,29.75,2017,5,Carpediem Capital
848,2017-05-30,Loadshare,Logistics,Express Logistics Network,Bangalore,Matrix Partners,Seed Funding,0.0,2017,5,Matrix Partners
849,2017-05-30,Simplilend,Consumer Internet,Online Lending Platform,New Delhi,Undisclosed Investors,Seed Funding,0.0,2017,5,Undisclosed Investors
850,2017-05-30,Supr Daily,Consumer Internet,Subscription Based Delivery Platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,12.75,2017,5,"Soma Capital, Great Oaks Ventures, 122 West Ventures"
851,2017-05-30,Swiggy,Consumer Internet,Online Food Delivery Platform,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,680.0,2017,5,"Nasper, Accel, Saif Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners"
852,2017-05-31,Sastasundar,E Commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,42.5,2017,5,Rohto Pharmaceutical
853,2017-05-31,Magicpin,Consumer Internet,Hyperlocal Discovery & Rewards Platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,59.5,2017,5,"Lightspeed India Partners, Waterbridge Ventures"
854,2017-04-01,Cashe,Consumer Internet,Online & Mobile Based Lending Platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,32.3,2017,4,"Mathew Cyriac, Florintree Advisors"
855,2017-04-03,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,69.7,2017,4,Bertelsmann India
856,2017-04-03,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,0.0,2017,4,Matrix Partners India
857,2017-04-03,Healthcare At Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,340.0,2017,4,Quadria Capital Advisors
858,2017-04-03,Tyre Express,Technology,Enterprise Iot Solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,0.0,2017,4,Rohitash Gupta
859,2017-04-03,Smartcoin,Consumer Internet,Micro Lending Platform,Bangalore,Unicorn India Ventures & Others,Private Equity,0.0,2017,4,"Unicorn India Ventures, Undisclosed Investors"
860,2017-04-04,Waycool,Food and Beverages,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,22.95,2017,4,Aspada Investments
861,2017-04-04,Perfios,Technology,Fin-Tech Solutions,Bangalore,Bessemer Venture Partners,Private Equity,51.85,2017,4,Bessemer Venture Partners
862,2017-04-04,Whatfix,Technology,Interactive Tech-Support Guides,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,31.365,2017,4,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver"
863,2017-04-04,Elastirun,Technology,App Based Logistics & Distribution Platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,59.5,2017,4,"Kalaari Capital, Norwest Venture Partners"
864,2017-04-04,Trukky,Consumer Internet,Online Truck Aggregator & Booking Platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,4.25,2017,4,"Keyur Joshi, Pavan Bakeri"
865,2017-04-04,Konsult App,Consumer Internet,App Based Doctor Consulting Platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,4.25,2017,4,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo Van Den Bosch, Undisclosed Investors"
866,2017-04-05,Credit Sudhaar,Consumer Internet,Credit Score Improvement Platform,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0,2017,4,"Deepak Kulkarni, Sandeep Pangal"
867,2017-04-05,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,25.5,2017,4,Zephyr Peacock India
868,2017-04-05,Dataweave,Technology,Business Intelligence Solutions,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.0,2017,4,"Freakout Group, Blume Ventures, Herb Madan, Waterbridge Ventures"
869,2017-04-06,Medwell Ventures,Healthcare,Home-Based Healthcare Provider,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,178.5,2017,4,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners"
870,2017-04-06,Mech Mocha,Consumer Internet,Mobile Gaming Startup,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,42.5,2017,4,"Accel, Shunwei Capital"
871,2017-04-07,Startup Buddy,Consumer Internet,Startup Support Platform,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0,2017,4,Youwecan Ventures
872,2017-04-07,Qorqi,Healthcare,Online Healthcare Provider,Noida,Paytm,Seed Funding,0.0,2017,4,Paytm
873,2017-04-07,Twenty Two Motors,Technology,Smart Scooter Manufacturer,Gurgaon,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0,2017,4,"Ishwar Singh, Farhaan Shabbir"
874,2017-04-07,Pharmeasy,E Commerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,153.0,2017,4,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital"
875,2017-04-08,Wonderchef,E Commerce,Online Marketplace For Kitchen Products,Mumbai,Labruyere Eberl,Private Equity,0.0,2017,4,Labruyere Eberl
876,2017-04-08,Fastfox,Consumer Internet,Online Rental Discovery Platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,39.1,2017,4,"Lightspeed India Partners, Blume Ventures, Cyberagent Ventures, Growx Ventures, Imj Investment Partners"
877,2017-04-10,Omnify,Technology,Saas Platform For Smes,Bangalore,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,1.275,2017,4,"Rajan Anandan, L.D Sharma, Saurabh Arora"
878,2017-04-10,Capital Float,Consumer Internet,Online Lending Platform For Sme,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,19.55,2017,4,"Mahindra, Mahindra Financial Services"
879,2017-04-11,Ninjacart,E Commerce,B2B Agri-Marketing Platform,Bangalore,"Accel Partners, Nandan Nilekanis NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,46.75,2017,4,"Accel, Nandan Nilekanis Nrjn Trust, Mistletoe, Qualcomm Ventures, M, S Partners"
880,2017-04-11,Mergerware,Technology,Software Solutions For M&As,Bangalore,Philippe Bouchet,Seed Funding,0.85,2017,4,Philippe Bouchet
881,2017-04-11,Sports Flashes,Consumer Internet,Online Sports Portal & Mobile App,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0,2017,4,"Sushil Kumar, Sandeep Singh"
882,2017-04-12,Clovia,E Commerce,Online Lingerie & Sleepwear Etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,34.0,2017,4,"Ivycap Ventures Advisors, Singularity Ventures, Ravi Dhariwal"
883,2017-04-12,Emiza,Logistics,Third Party Logistics Provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,38.25,2017,4,"Mayfield, Nishant Rao, Dileep Nath"
884,2017-04-12,Hackerearth,Consumer Internet,Online Skill Assessment Platform,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,38.25,2017,4,"Dhi Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, Bizreach"
885,2017-04-12,Squadrun,Technology,Software-As-A-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,17.85,2017,4,"Blume Ventures, Contrarian Capital, 91Springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures"
886,2017-04-12,Tinmen,Consumer Internet,Food Delivery Platform,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0,2017,4,"Mape Advisory Group, R Ramaraj, Corvus Ventures"
887,2017-04-12,Scoutmytrip,Consumer Internet,Online Travel Pla Er,Mumbai,Z Nation Lab,Seed Funding,0.0,2017,4,Z Nation Lab
888,2017-04-13,Safetykart,E Commerce,Safety & Hygiene Products Etailer,Gurgaon,Redcliffe Capital,Private Equity,0.0,2017,4,Redcliffe Capital
889,2017-04-13,Weareholidays,Consumer Internet,Travel Packages & Pla Er Marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,65.45,2017,4,Urrshila Kerkar
890,2017-04-14,Ola,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,2210.0,2017,4,Simi Pacific Pte
891,2017-04-15,Myly,Consumer Internet,Mobile App For Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,2.635,2017,4,Mall Industries Development Bank Of India
892,2017-04-17,Credihealth,Consumer Internet,Online Medical Assistance Platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,12.75,2017,4,"Tolaram Inc, Mountain Pine Capital"
893,2017-04-17,Navia Life Care,Technology,Health Technology Platform,New Delhi,Benori Ventures LLP,Seed Funding,0.0,2017,4,Benori Ventures Llp
894,2017-04-17,Raw Pressery,Food and Beverages,Raw Pressed Juices Manufacturer,Mumbai,Jacqueline Fernandez,Seed Funding,0.0,2017,4,Jacqueline Fernandez
895,2017-04-17,Snackible,Food and Beverages,Healthy Snacks Manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,1.4875,2017,4,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair"
896,2017-04-17,Be U Salons,Consumer Internet,Online Salon Discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,5.27,2017,4,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra"
897,2017-04-17,Simulanis,Consumer Internet,Elearning & Skills Development Plat,New Delhi,Village Capital,Seed Funding,0.0,2017,4,Village Capital
898,2017-04-17,Lending Kart,Consumer Internet,Lending Platform For Small Businesses,Ahmedabad,Anicut Capital,Private Equity,39.525,2017,4,Anicut Capital
899,2017-04-18,Innefu Security Consulting,Technology,Cyber Security Solutions Using Ai,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,17.0,2017,4,Indianivesh Venture Capital Fund
900,2017-04-18,Whodat,Technology,Markerless Ar Platform,Bangalore,Ideaspring Capital,Private Equity,5.1,2017,4,Ideaspring Capital
901,2017-04-18,Absentia Vr,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,10.625,2017,4,Exfinity Venture Partners
902,2017-04-19,Iotrek,Technology,Iot Platform For Bus,New Delhi,Undisclosed Investor,Seed Funding,1.3175,2017,4,Undisclosed Investors
903,2017-04-20,Holachef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,25.5,2017,4,"Sidbi Venture Capital Ltd, Kalaari Capital"
904,2017-04-20,Wooplr,E Commerce,Social Commerce Fashion Platform,Bangalore,Ankit Nagori,Private Equity,0.0,2017,4,Ankit Nagori
905,2017-04-21,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,8.5,2017,4,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, Lg Chandrasekhar, Sashi Reddi"
906,2017-04-24,Faasos,Food and Beverages,Qsr Chain And Online Food Delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,53.55,2017,4,"Ligthbox Ventures Ii, Lightbox Expansion Fund, Sequoia Capital, Runet South Asia, Rb Investments"
907,2017-04-24,Oyo,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,2125.0,2017,4,"Softbank, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners"
908,2017-04-24,Toppr,Consumer Internet,Learning Mobile App For Students,Mumbai,WGG International,Private Equity,27.2,2017,4,Wgg International
909,2017-04-24,Niramai,Healthcare,Breast Cancer Screening Solutions,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0,2017,4,"Pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal"
910,2017-04-25,The Office Pass,Consumer Internet,Coworking Spaces Booking Platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,2.0825,2017,4,"Arun Tadanki, Aditya Verma"
911,2017-04-25,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,26.35,2017,4,Trifecta Capital
912,2017-04-26,Awfis,Consumer Internet,Collaborative Co-Working Spaces,Mumbai,Sequoia India,Private Equity,170.0,2017,4,Sequoia Capital
913,2017-04-26,Myra,Consumer Internet,Online Pharmacy,Bangalore,"Times Internet,Matrix Partners",Private Equity,0.0,2017,4,"Times Internet, Matrix Partners"
914,2017-04-26,Flytxt,Technology,Customer Data Analytics Software,Mumbai,DAH Beteiligungs GmbH,Private Equity,93.5,2017,4,Dah Beteiligungs Gmbh
915,2017-04-26,Howdy Ventures,Consumer Internet,Public And Private Events Creation App,Chennai,S. Xavier Britto,Seed Funding,12.75,2017,4,S. Xavier Britto
916,2017-04-26,Stalkbuylove,E Commerce,Online Fashion Marketplace,New Delhi,Trifecta Capital,Private Equity,8.5,2017,4,Trifecta Capital
917,2017-04-26,Zipgo,Consumer Internet,Bus Pooling Services Platform,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.0,2017,4,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks"
918,2017-04-27,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,30.6,2017,4,"Agnus Capital, Khattar Holdings"
919,2017-04-27,Autobix,Technology,Software Solutions For Auto Dealership,Pune,GardX International,Seed Funding,0.0,2017,4,Gardx International
920,2017-04-27,Eshiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,0.0,2017,4,"Cross Border Angels, Experts"
921,2017-04-27,Inurture,Consumer Internet,Online Educational Courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,12.75,2017,4,Blacksoil Capital Pvt. Ltd
922,2017-04-28,Sepalika,Consumer Internet,Healthcare Related Content Platform,New Delhi,Accel Partners,Seed Funding,6.375,2017,4,Accel
923,2017-04-28,Mintwalk,Consumer Internet,Financial Advisory Mobile App,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.0,2017,4,Poshika Financial Ecosystem
924,2017-04-29,Qriyo,Consumer Internet,Tutor Discovery & Booking Platform,Jaipur,NB Ventures,Private Equity,0.0,2017,4,Nb Ventures
925,2017-03-01,Ola,Consumer Internet,App Based Cab Aggregator,Bangalore,SoftBank Group Corp,Private Equity,2805.0,2017,3,Softbank
926,2017-03-01,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,85.0,2017,3,Sequoia Capital
927,2017-03-01,Seenit,Consumer Internet,Ai Based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0,2017,3,"Calcutta Angels Network, Augment Ventures"
928,2017-03-01,Paalak,E Commerce,Fresh Produce Selling Portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0,2017,3,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, Ln Buddharaju, Anupam Tyagi"
929,2017-03-02,Celes Care,Consumer Internet,Women Healthcare & Information Portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,12.75,2017,3,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners"
930,2017-03-02,Karomi,Technology,Packaging Artwork Management Software,Chennai,Ideaspring Capital,Seed Funding,4.25,2017,3,Ideaspring Capital
931,2017-03-02,Red Carpet,Consumer Internet,Micro Lending Platform,Gurgaon,Lightspeed Venture Partners,Private Equity,21.25,2017,3,Lightspeed Venture Partners
932,2017-03-02,Kreate Konnect,Technology,End-To-End Seller E-Commerce Solutions Provider,Vadodara,Langoor,Seed Funding,0.0,2017,3,Langoor
933,2017-03-02,Creditmantri,Consumer Internet,Online Credit Score & Lending Platform,Chennai,Quona Capital,Private Equity,64.6,2017,3,Quona Capital
934,2017-03-03,Lets Endorse,Consumer Internet,Online Ecosystem Of Social I Ovators,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0,2017,3,"Chandigarh Angels Network, Social Alpha, Other Unnamed Angel Investors"
935,2017-03-03,Tydy,Technology,Employee Onboarding And Engagement Platform,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,2.3375,2017,3,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe"
936,2017-03-03,Nactus,Consumer Internet,Professional Tutors Discovery & Booking Mobile App,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0,2017,3,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar"
937,2017-03-03,Oho Shop,Technology,Ecommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,56.95,2017,3,"Bennett, Coleman, Company Ltd"
938,2017-03-03,Emojifi,Consumer Internet,Mobile App For Live Emoji,Hyderabad,Undisclosed angel investors,Seed Funding,0.0,2017,3,Undisclosed Angel Investors
939,2017-03-03,Paytm,E Commerce,Ecommerce Marketplace,Bangalore,Alibaba,Private Equity,1700.0,2017,3,Alibaba
940,2017-03-04,Igenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,165.75,2017,3,Cdc Group Plc
941,2017-03-06,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,10.2,2017,3,Atul Nishar
942,2017-03-06,Summerlabel,Consumer Internet,Fashion And Lifestyle Discovery Platform,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,1.275,2017,3,"Aneesh Seth, Tushar Mittal"
943,2017-03-06,Pickme,Consumer Internet,Gadget Insurance & Repair Services Platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,15.215,2017,3,Sidbi Venture Capital Fund
944,2017-03-07,Agrostar,Technology,Direct-To-Farmer Mobile-Based Retail Platform,Pune,Accel Partners,Private Equity,85.0,2017,3,Accel
945,2017-03-07,Zapr,Technology,"Dsp, Tv Analytics & Cross-Platform Advertising",Bangalore,Star India Pvt Ltd,Private Equity,85.0,2017,3,Star India Pvt Ltd
946,2017-03-07,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,8.5,2017,3,Idfc Parampara Early Stage Opportunities Fund
947,2017-03-07,Book Servicing,Consumer Internet,Online Vehicle Services Booking Platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,0.255,2017,3,"National Science, Technology Entrepreneurship Development Board"
948,2017-03-07,Blowhorn,Consumer Internet,Intra-City Logistics Provider,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,31.025,2017,3,"Idg Ventures India, Michael, Susan Dell Foundation, Draper Associates, Unitus Seed Fund"
949,2017-03-08,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,127.5,2017,3,Private Sector Banks
950,2017-03-08,Pipecandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,9.35,2017,3,"Idg Ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network"
951,2017-03-08,Supr Daily,Consumer Internet,Subscription Based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,1.02,2017,3,Y Combinator
952,2017-03-08,Parentune,Consumer Internet,Online Community For Parents,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0,2017,3,"Kae Capital, Segnel Ventures"
953,2017-03-09,Appbrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,4.25,2017,3,Deepak Gurnani
954,2017-03-09,Magicbricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,38.25,2017,3,Times Internet Ltd
955,2017-03-10,Peebuddy,Healthcare,Female Hygiene Product Manufacturer,New Delhi,Indian Angel Network,Seed Funding,3.7655,2017,3,Indian Angel Network
956,2017-03-10,Iorderfresh,E Commerce,Online Fresh Fruits And Grocery Store,New Delhi,Singapore Angel Network,Seed Funding,0.0,2017,3,Singapore Angel Network
957,2017-03-10,Lavelle Networks,Technology,Sdn Solutions,Bangalore,Ideaspring Capital,Seed Funding,5.1,2017,3,Ideaspring Capital
958,2017-03-10,Propertyshare,Consumer Internet,Fractional Proerty Ownership & Rental Platform,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.0,2017,3,"Asuka, Pravega Ventures, BEENEXT"
959,2017-03-14,Mydermacy,Consumer Internet,Online Dermatology Consultation Platform,New Delhi,Cyber Carrier,Private Equity,0.0,2017,3,Cyber Carrier
960,2017-03-15,Latestone,E Commerce,Tech Accessories E-Tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,28.475,2017,3,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth"
961,2017-03-15,Frapperz,Consumer Internet,On-Demand Home Services Provider,Kolkata,Undisclosed Investor,Seed Funding,0.85,2017,3,Undisclosed Investors
962,2017-03-16,Mpaani,Consumer Internet,Loyalty Rewards App,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,11.475,2017,3,"Idg Ventures, Blume Ventures, Saha Fund"
963,2017-03-16,Shilpmis,Technology,Virtual Reality Platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,0.0,2017,3,"Puneet Gupta, Nimitt Desai, Undisclosed Investors"
964,2017-03-16,Popxo,Consumer Internet,Digital Media Publication For Women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,26.35,2017,3,"Gree Ventures, Kalaari Capital, Idg Ventures India, Summit Media, Atul Goel, Gurpreet Singh"
965,2017-03-16,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,1.7,2017,3,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya"
966,2017-03-17,Farmart,Technology,Farming Rental Equipment Provider,Gurgaon,Indian Angel Network,Seed Funding,0.0,2017,3,Indian Angel Network
967,2017-03-21,Flipkart,E Commerce,Ecommerce Marketplace,Bangalore,"Microsoft, eBay, Tencent Holdings",Private Equity,11900.0,2017,3,"Microsoft, Ebay, Tencent Holdings"
968,2017-03-21,Airpay,Technology,Online Payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,31.195,2017,3,"Kalaari Capital, Rakesh, Rajesh Jhunjhunwala"
